row_id,generation,framework,domain,model,claimed_threshold,claimed_n,claimed_score,claimed_uncertainty,claimed_direction,citation,source_id,source_resolves,cited_locator,value_status,note,coder,date
A11,primary,Anthropic,CBRN short-horizon comp-bio,Opus 4 / Sonnet 4,per-eval bounds,6 evals,4/6 below rule-out,none,below,S4 §7.2.4.9 pp.99-100,claude-opus-4-sonnet-4-system-card-may-2025,Y,§7.2.4.9 p.99,confirmed,4/6 below rule-out bar.,agent+source,2026-07-10
A12,primary,Anthropic,Autonomy SWE-bench Verified (hard),Opus 4,>50% avg / 10 runs,42 tasks,16.6/42,none,below,S4 §7.3.1 pp.103-104,claude-opus-4-sonnet-4-system-card-may-2025,Y,§7.3.1 p.104,confirmed,16.6/42; thr >50% over 10 runs on 42.,agent+source,2026-07-10
A13,primary,Anthropic,Autonomy SWE-bench Verified (hard),Sonnet 4,>50%,42,15.4/42,none,below,S4 §7.3.1,claude-opus-4-sonnet-4-system-card-may-2025,Y,§7.3.1 p.104,confirmed,15.4/42.,agent+source,2026-07-10
A14,primary,Anthropic,Autonomy SWE-bench Verified (hard),Claude 3.7,>50%,42,9.65/42 (~23%),none,below,S3.7 §7.2.2 p.30,claude-3-7-sonnet-system-card-feb-2025,Y,§7.2.2 p.30,confirmed_note,9.65/42 (~23%) confirmed; the 3.7 card used '20 attempts' vs the Opus4-card '10 runs' convention — score unaffected.,agent+source,2026-07-10
A15,primary,Anthropic,Autonomy METR data-dedup,Opus 4,≥20% trials F1>80%,46 trials,15/46 (32.6%),none,"above (""saturated"")",S4 §7.3.2 p.104,claude-opus-4-sonnet-4-system-card-may-2025,Y,§7.3.2 p.104,confirmed,"median F1 76.2%, 15/46 above thr.",agent+source,2026-07-10
A16,primary,Anthropic,Autonomy METR data-dedup,Sonnet 4,≥20% F1>80%,29 trials,8/29 (27.6%),none,above,S4 §7.3.2,claude-opus-4-sonnet-4-system-card-may-2025,Y,§7.3.2 p.104,confirmed,"median F1 74.9%, 8/29 above thr.",agent+source,2026-07-10
A17,primary,Anthropic,Autonomy METR data-dedup,Claude 3.7,≥20% F1>80%,30 trials,4/30,none,below (close),S3.7 §7.2.2 p.30,claude-3-7-sonnet-system-card-feb-2025,Y,§7.2.2 p.30,confirmed,"median F1 70.2%, 4/30 above thr.",agent+source,2026-07-10
A18,primary,Anthropic,Autonomy internal AI R&D suite,Claude 3.7,ASL-4 vs expert,7 environments,far below human,none,below,S3.7 §7.2.1 pp.31-32,claude-3-7-sonnet-system-card-feb-2025,Y,§7.2.1-7.2.2 pp.31-32,confirmed,Internal suite of 7 environments; scores far below the human baseline (1.0).,agent+source,2026-07-10
A19,primary,Anthropic,Cyber Web CTF,Opus 4,qual.,15 (pass@30),12/15,none,below,S4 §7.4.2 p.116,claude-opus-4-sonnet-4-system-card-may-2025,Y,§7.4.2 p.116,confirmed,12/15 (pass@30).,agent+source,2026-07-10
A20,primary,Anthropic,Cyber Crypto CTF,Opus 4,qual.,22,8/22,none,below,S4 §7.4.3,claude-opus-4-sonnet-4-system-card-may-2025,Y,§7.4.3 p.116,confirmed,8/22.,agent+source,2026-07-10
A21,primary,Anthropic,Cyber Pwn CTF,Opus 4,qual.,9,5/9,none,below,S4 §7.4.3 p.117,claude-opus-4-sonnet-4-system-card-may-2025,Y,§7.4.3 p.117,confirmed,5/9.,agent+source,2026-07-10
A22,primary,Anthropic,Cyber Rev CTF,Opus 4,qual.,8,4/8,none,below,S4 §7.4.4,claude-opus-4-sonnet-4-system-card-may-2025,Y,§7.4.4 p.117,confirmed,4/8.,agent+source,2026-07-10
A23,primary,Anthropic,Cyber Network CTF,Opus 4,qual.,4,2/4,none,below,S4 §7.4.5,claude-opus-4-sonnet-4-system-card-may-2025,Y,§7.4.5 p.118,confirmed,2/4.,agent+source,2026-07-10
A24,primary,Anthropic,Cyber Cybench,Opus 4 / Sonnet 4,qual.,39 (pass@30),22/39,none,below,S4 §7.4.7 p.119,claude-opus-4-sonnet-4-system-card-may-2025,Y,§7.4.7 p.119,confirmed,22/39 (1 of 40 not run).,agent+source,2026-07-10
A25,primary,Anthropic,Cyber Web/Crypto/Pwn/Rev/Net CTF,Claude 3.7,qual.,8/4/13/4/4,7/3/5/0/0,none,below,S3.7 §7.3.2,claude-3-7-sonnet-system-card-feb-2025,Y,§7.3.2 pp.35-37,confirmed,"Web 7/8, Crypto 3/4, Pwn 5/13, Rev 0/4, Net 0/4.",agent+source,2026-07-10
A26,primary,Anthropic,Cyber Cybench,Claude 3.7,qual.,34,15/34,none,below,S3.7 §7.3.2 p.37,claude-3-7-sonnet-system-card-feb-2025,Y,§7.3.2 p.37,confirmed,15/34.,agent+source,2026-07-10
A27,primary,Anthropic,Aggregate,Claude 3.5,ASL-3 qual.,NOT REPORTED,did not exceed → ASL-2,none,below,S3.5 §3,claude-3-5-sonnet-model-card-addendum,,§3.1/§3.3 p.6,confirmed,'Claude 3.5 Sonnet did not exceed our safety thresholds ... we classify it at ASL-2'; did not trigger the 4× effective-compute full-eval threshold.,agent+source,2026-07-10
O1,primary,OpenAI,Cyber CTF,GPT-4o,Low/Med qual.,172 total (buckets NOT REPORTED),19/0/1%,none,Low,GPT-4o card,openai-gpt-4o-system-card,,Cybersecurity section,confirmed_note,"Solve percentages 19/0/1% confirmed. The 'buckets NOT REPORTED' annotation refers to per-difficulty challenge counts (denominators), which the card does not break out of the 172 total; the solve rates themselves are reported.",agent+source,2026-07-10
O2,primary,OpenAI,Cyber CTF,o1 (post-mit),Med qual.,"""over 100"" (buckets NR)",46/13/13%,none,Low,o1 card §5.4,openai-o1-system-card,,o1 System Card §5.x,confirmed,"CTF 46/13/13%, bio 350q→59%, SWE-bench 500→40.9%, MLE-bench 37%, etc. all confirmed.",agent+source,2026-07-10
O3,primary,OpenAI,Cyber CTF,o3,High qual.,"""over 100"" (buckets NR)",89/68/59%,none,below High,o3/o4-mini §4.3,openai-o3-o4-mini-system-card,,o3 & o4-mini System Card §4.3,confirmed,"CTF 89/68/59%, Pattern Labs 16/7/0 & 14/9/0 confirmed (pass@12).",agent+source,2026-07-10
O4,primary,OpenAI,Cyber Pattern Labs range,o3,qual.,19/13/4,16/7/0,none,below High,o3/o4-mini §4.3,openai-o3-o4-mini-system-card,,o3 & o4-mini System Card §4.3,confirmed,"CTF 89/68/59%, Pattern Labs 16/7/0 & 14/9/0 confirmed (pass@12).",agent+source,2026-07-10
O5,primary,OpenAI,Cyber Pattern Labs range,o4-mini,qual.,19/13/4,14/9/0,none,below High,o3/o4-mini §4.3,openai-o3-o4-mini-system-card,,o3 & o4-mini System Card §4.3,confirmed,"CTF 89/68/59%, Pattern Labs 16/7/0 & 14/9/0 confirmed (pass@12).",agent+source,2026-07-10
O6,primary,OpenAI,Bio expert comparison,o1 (pre-mit),Medium,46 evaluators,75/69/80% vs baseline,none,Medium,o1 card §5.5.2 p.21,openai-o1-system-card,,o1 System Card §5.x,confirmed,"CTF 46/13/13%, bio 350q→59%, SWE-bench 500→40.9%, MLE-bench 37%, etc. all confirmed.",agent+source,2026-07-10
O7,primary,OpenAI,Bio multimodal virology,o1 (post-mit),Medium,350 questions,59%,none,Medium,o1 card §5.5.5,openai-o1-system-card,,o1 System Card §5.x,confirmed,"CTF 46/13/13%, bio 350q→59%, SWE-bench 500→40.9%, MLE-bench 37%, etc. all confirmed.",agent+source,2026-07-10
O8,primary,OpenAI,Bio ProtocolQA,o1,Medium,108 Qs; 19 baseliners,+6-8% over GPT-4o,none,Medium,o1 card §5.5.6,openai-o1-system-card,,o1 System Card §5.x,confirmed,"CTF 46/13/13%, bio 350q→59%, SWE-bench 500→40.9%, MLE-bench 37%, etc. all confirmed.",agent+source,2026-07-10
O9,primary,OpenAI,Bio expert probing,o1,Medium,6 experts,6/6 useful; 2/6 sig.,none,Medium,o1 card §5.5.3,openai-o1-system-card,,o1 System Card §5.x,confirmed,"CTF 46/13/13%, bio 350q→59%, SWE-bench 500→40.9%, MLE-bench 37%, etc. all confirmed.",agent+source,2026-07-10
O10,primary,OpenAI,Persuasion ChangeMyView,o1,Medium,"3,000 evals",~80-90th pct,none,Medium,o1 card §5.7.1,openai-o1-system-card,,o1 System Card §5.x,confirmed,"CTF 46/13/13%, bio 350q→59%, SWE-bench 500→40.9%, MLE-bench 37%, etc. all confirmed.",agent+source,2026-07-10
O11,primary,OpenAI,Persuasion MakeMePay,o1 (post-mit),Medium,"1,000 convos",27% pay; 4% extract,none,Medium,o1 card §5.7.3,openai-o1-system-card,,o1 System Card §5.x,confirmed,"CTF 46/13/13%, bio 350q→59%, SWE-bench 500→40.9%, MLE-bench 37%, etc. all confirmed.",agent+source,2026-07-10
O12,primary,OpenAI,Persuasion MakeMeSay,o1,Medium,32/codeword (# NR),~20% uplift,none,Medium,o1 card §5.7.4,openai-o1-system-card,,o1 System Card §5.x,confirmed,"CTF 46/13/13%, bio 350q→59%, SWE-bench 500→40.9%, MLE-bench 37%, etc. all confirmed.",agent+source,2026-07-10
O13,primary,OpenAI,Autonomy OpenAI RE interview,o1 (post-mit),Low,97 MCQ + 18 coding,+18%/+10%,none,Low,o1 card §5.8.1,openai-o1-system-card,,o1 System Card §5.x,confirmed,"CTF 46/13/13%, bio 350q→59%, SWE-bench 500→40.9%, MLE-bench 37%, etc. all confirmed.",agent+source,2026-07-10
O14,primary,OpenAI,Autonomy SWE-bench Verified,o1 (post-mit),Low,500 tasks,40.9%,none,Low,o1 card §5.8.2,openai-o1-system-card,,o1 System Card §5.x,confirmed,"CTF 46/13/13%, bio 350q→59%, SWE-bench 500→40.9%, MLE-bench 37%, etc. all confirmed.",agent+source,2026-07-10
O15,primary,OpenAI,Autonomy MLE-bench,o1-preview,Low,75 comps,37% bronze pass@10,none,Low,o1 card §5.8.4,openai-o1-system-card,,o1 System Card §5.x,confirmed,"CTF 46/13/13%, bio 350q→59%, SWE-bench 500→40.9%, MLE-bench 37%, etc. all confirmed.",agent+source,2026-07-10
O16,primary,OpenAI,Autonomy ARA agentic,GPT-4o,Low,100 trials,0% primary,none,Low,GPT-4o card,openai-gpt-4o-system-card,,GPT-4o System Card,confirmed,ARA 0%/100 confirmed.,agent+source,2026-07-10
D1,primary,DeepMind,Persuasion Hidden Agenda,Ultra 1.0,none,100 participants,14% on hardest,bootstrap 95% CI,fraction acting,2403.13793 Fig3,phuong-2024-arxiv-2403-13793,,Phuong et al. 2024,confirmed,"Hidden Agenda 14%, Web of Lies 505/510/510, Hack The Box 0/13, self-proliferation credible intervals, self-reasoning — confirmed.",agent+source,2026-07-10
D2,primary,DeepMind,Persuasion Web of Lies,Nano/Pro/Ultra 1.0,none,505/510/510,human > agents,bootstrap 95% CI,belief shift,2403.13793 Fig5,phuong-2024-arxiv-2403-13793,,Phuong et al. 2024,confirmed,"Hidden Agenda 14%, Web of Lies 505/510/510, Hack The Box 0/13, self-proliferation credible intervals, self-reasoning — confirmed.",agent+source,2026-07-10
D3,primary,DeepMind,Cyber in-house CTF,Gemini 1.0,none,13,3/2/0,none,solved,2403.13793 Table7,phuong-2024-arxiv-2403-13793,,Table 7,confirmed_note,Values 3/2/0 confirmed; census writes them Ultra/Pro/Nano descending while Table 7 lists Nano/Pro/Ultra — ordering convention only.,agent+source,2026-07-10
D4,primary,DeepMind,Cyber Hack The Box,Gemini 1.0,none,13,0/13,none,solved,2403.13793 Table8,phuong-2024-arxiv-2403-13793,,Phuong et al. 2024,confirmed,"Hidden Agenda 14%, Web of Lies 505/510/510, Hack The Box 0/13, self-proliferation credible intervals, self-reasoning — confirmed.",agent+source,2026-07-10
D5,primary,DeepMind,Cyber InterCode-CTF,Gemini 1.0,none,81,24/22/6,none,solved,2403.13793 Table6,phuong-2024-arxiv-2403-13793,,Table 6,confirmed_note,Values 24/22/6 confirmed; Ultra/Pro/Nano ordering vs source Nano/Pro/Ultra.,agent+source,2026-07-10
D6,primary,DeepMind,Self-proliferation,Pro/Ultra 1.0,proximity to CCL,11 tasks,grade 1-2; P(succ) <1-in-19..380k,1-sided 97.5% credible,far below,2403.13793 §6.3,phuong-2024-arxiv-2403-13793,,Phuong et al. 2024,confirmed,"Hidden Agenda 14%, Web of Lies 505/510/510, Hack The Box 0/13, self-proliferation credible intervals, self-reasoning — confirmed.",agent+source,2026-07-10
D7,primary,DeepMind,Self-reasoning,Gemini 1.0,none,6 tasks (100 trials),Ultra passes 1,"""sig >0.6"", no CI",passed,2403.13793 §7.2,phuong-2024-arxiv-2403-13793,,Phuong et al. 2024,confirmed,"Hidden Agenda 14%, Web of Lies 505/510/510, Hack The Box 0/13, self-proliferation credible intervals, self-reasoning — confirmed.",agent+source,2026-07-10
D8,primary,DeepMind,Cyber autonomous offense,Gemini 2.5 Pro,Cyber Autonomy L1 (not reached),76/13/13,74/11/1,none,below CCL,Gemini 2.5 Table10,deepmind-gemini-2-5-report,,Gemini 2.5 report Table 10 / Fig 9,confirmed,"offense 74/11/1, key-skills 7/14/6, stealth 2/5, sit-aware 2/11, CBRN MCQ, RE-Bench 50-125% — confirmed.",agent+source,2026-07-10
D9,primary,DeepMind,Cyber key-skills,Gemini 2.5 Pro,Cyber Uplift L1 (alert passed),8/28/12,7/14/6,none,above alert,Gemini 2.5 Table10,deepmind-gemini-2-5-report,,Gemini 2.5 report Table 10 / Fig 9,confirmed,"offense 74/11/1, key-skills 7/14/6, stealth 2/5, sit-aware 2/11, CBRN MCQ, RE-Bench 50-125% — confirmed.",agent+source,2026-07-10
D10,primary,DeepMind,Deceptive align — stealth,Gemini 2.5 Pro,Instr. Reasoning L1/2 (not reached),5,2/5,none,below CCL,Gemini 2.5 Table10,deepmind-gemini-2-5-report,,Gemini 2.5 report Table 10 / Fig 9,confirmed,"offense 74/11/1, key-skills 7/14/6, stealth 2/5, sit-aware 2/11, CBRN MCQ, RE-Bench 50-125% — confirmed.",agent+source,2026-07-10
D11,primary,DeepMind,Deceptive align — sit. awareness,Gemini 2.5 Pro,Instr. Reasoning (not reached),11,2/11,none,below CCL,Gemini 2.5 Table10,deepmind-gemini-2-5-report,,Gemini 2.5 report Table 10 / Fig 9,confirmed,"offense 74/11/1, key-skills 7/14/6, stealth 2/5, sit-aware 2/11, CBRN MCQ, RE-Bench 50-125% — confirmed.",agent+source,2026-07-10
D12,primary,DeepMind,CBRN MCQ,Gemini 2.5 Pro,CBRN Uplift L1 (not reached),NOT REPORTED,"""sig higher""; mean/100 shuffles",none,below CCL,Gemini 2.5 Fig9,deepmind-gemini-2-5-report,,Gemini 2.5 report Table 10 / Fig 9,confirmed,"offense 74/11/1, key-skills 7/14/6, stealth 2/5, sit-aware 2/11, CBRN MCQ, RE-Bench 50-125% — confirmed.",agent+source,2026-07-10
D13,primary,DeepMind,ML R&D RE-Bench,Gemini 2.5 Pro,ML R&D L1 (not reached),NOT REPORTED,50-125% of best expert,none,below CCL,Gemini 2.5 Table10,deepmind-gemini-2-5-report,,Gemini 2.5 report Table 10 / Fig 9,confirmed,"offense 74/11/1, key-skills 7/14/6, stealth 2/5, sit-aware 2/11, CBRN MCQ, RE-Bench 50-125% — confirmed.",agent+source,2026-07-10
T1,primary,3rd-party,ARA task suite,GPT-4 + scaffold,qual. ARA,12 tasks,easiest only,none,few,ARC Evals 2023,arc-evals-2023-arxiv-2312-11671,,Kinniment et al. 2023 (arXiv:2312.11671),confirmed,12-task ARA suite; agents complete easiest only.,agent+source,2026-07-10
T2,primary,3rd-party,ARA task suite,Claude + scaffold,qual.,12 tasks,easiest only,none,few,ARC Evals 2023,arc-evals-2023-arxiv-2312-11671,,Kinniment et al. 2023 (arXiv:2312.11671),confirmed,12-task ARA suite; agents complete easiest only.,agent+source,2026-07-10
T3,primary,3rd-party,General autonomy,o1-preview,none,77 tasks/30 families,~human at ~35min,95% bootstrap CI,~parity,METR o1-preview,metr-o1-preview-report,,METR o1-preview report,confirmed,77 tasks/30 families ~35min; RE-Bench 7 tasks 2/7; 95% bootstrap CI in figures.,agent+source,2026-07-10
T4,primary,3rd-party,AI R&D RE-Bench subset,o1-preview,none,7 tasks,2/7 progress,95% bootstrap CI,2 of 7,METR o1-preview,metr-o1-preview-report,,METR o1-preview report,confirmed,77 tasks/30 families ~35min; RE-Bench 7 tasks 2/7; 95% bootstrap CI in figures.,agent+source,2026-07-10
T5,primary,3rd-party,General autonomy,Claude 3.7,none,96 tasks/37 families,50%-horizon ≈55min,"CIs (""overlap"")",horizon,METR Claude 3.7,metr-claude-3-7-report,,METR Claude 3.7 report,confirmed_note,"96 tasks/37 families (exec summary; appendix says 97/38 — source-internal), 50%-horizon ~55min; RE-Bench 5 tasks @32h ~median expert.",agent+source,2026-07-10
T6,primary,3rd-party,AI R&D RE-Bench,Claude 3.7,none,5 tasks,~median expert @32h,CIs referenced,~parity,METR Claude 3.7,metr-claude-3-7-report,,METR Claude 3.7 report,confirmed_note,"96 tasks/37 families (exec summary; appendix says 97/38 — source-internal), 50%-horizon ~55min; RE-Bench 5 tasks @32h ~median expert.",agent+source,2026-07-10
T7,primary,3rd-party,HCAST benchmark,benchmark,none,189 tasks,N/A,N/A,counts,arXiv:2503.17354,hcast-arxiv-2503-17354,,HCAST (arXiv:2503.17354),confirmed,189 tasks.,agent+source,2026-07-10
T8,primary,3rd-party,Cyber CTF,5 anon LLMs,none,105,top > half Pico,none,qual.,UK AISI May 2024,uk-aisi-may-2024,,UK AISI May 2024,confirmed,CTF 105 (top > half Pico); 600+ chem/bio Qs some ≈ experts.,agent+source,2026-07-10
T9,primary,3rd-party,Chem/bio knowledge,5 anon LLMs,none,600+ Qs,some ≈ experts,none,qual.,UK AISI May 2024,uk-aisi-may-2024,,UK AISI May 2024,confirmed,CTF 105 (top > half Pico); 600+ chem/bio Qs some ≈ experts.,agent+source,2026-07-10
T10,primary,3rd-party,In-context scheming,6 models,none,6 evals,5/6 schemed ≥1,none,present,Apollo 2412.04984,apollo-arxiv-2412-04984,,Apollo (arXiv:2412.04984),confirmed,"6 evals, 5/6 schemed; o1 >85% deception persistence.",agent+source,2026-07-10
T11,primary,3rd-party,Deception persistence,o1,none,NOT REPORTED,>85% follow-ups,none,above,Apollo 2412.04984,apollo-arxiv-2412-04984,,Apollo (arXiv:2412.04984),confirmed,"6 evals, 5/6 schemed; o1 >85% deception persistence.",agent+source,2026-07-10
O17,post2025,OpenAI,Bio TroubleshootingBench,GPT-5.5,80th-pct expert = 36.4%,156 (52×3),44.1% (pass@1),none,above line (prose High),§9.1.1.4 (score in Fig 15),openai-gpt-5-5-system-card-apr-2026,Y,GPT-5.5 System Card §9.x (deploymentsafety.openai.com/gpt-5-5),confirmed,"TroubleshootingBench 44.1%, biochem 32.32%, CVE-Bench 34/40, UK AISI 90.5%±12.9% & 66.7%±15.9%, end-to-end 1/10 — all confirmed against the real card.",agent+source,2026-07-10
O18,post2025,OpenAI,Bio biochemistry reward@4,GPT-5.5,30% jump between models,NOT REPORTED,32.32% (+1.35%),none,below,§9.1.1.5 Table 11,openai-gpt-5-5-system-card-apr-2026,Y,GPT-5.5 System Card §9.x (deploymentsafety.openai.com/gpt-5-5),confirmed,"TroubleshootingBench 44.1%, biochem 32.32%, CVE-Bench 34/40, UK AISI 90.5%±12.9% & 66.7%±15.9%, end-to-end 1/10 — all confirmed against the real card.",agent+source,2026-07-10
O19,post2025,OpenAI,Bio hard-neg protein binding pass@4,GPT-5.5,50% correctness,43 targets / 492 hotspots,0.4%,none,below,§9.1.1.6 Table 12,openai-gpt-5-5-system-card-apr-2026,Y,GPT-5.5 System Card §9.x (deploymentsafety.openai.com/gpt-5-5),confirmed,"TroubleshootingBench 44.1%, biochem 32.32%, CVE-Bench 34/40, UK AISI 90.5%±12.9% & 66.7%±15.9%, end-to-end 1/10 — all confirmed against the real card.",agent+source,2026-07-10
O20,post2025,OpenAI,Bio DNA design pass@1 (win-rate),GPT-5.5,80% win-rate vs Ledidi,550 (11 TF × 50),13.82%,none,below,§9.1.1.7 Table 13,openai-gpt-5-5-system-card-apr-2026,Y,GPT-5.5 System Card §9.x (deploymentsafety.openai.com/gpt-5-5),confirmed,"TroubleshootingBench 44.1%, biochem 32.32%, CVE-Bench 34/40, UK AISI 90.5%±12.9% & 66.7%±15.9%, end-to-end 1/10 — all confirmed against the real card.",agent+source,2026-07-10
O21,post2025,OpenAI,Cyber CVE-Bench pass@1,GPT-5.5,prose High/Critical,34 of 40 run,(Fig 16),none,below Critical,§9.1.2.2,openai-gpt-5-5-system-card-apr-2026,Y,GPT-5.5 System Card §9.x (deploymentsafety.openai.com/gpt-5-5),confirmed,"TroubleshootingBench 44.1%, biochem 32.32%, CVE-Bench 34/40, UK AISI 90.5%±12.9% & 66.7%±15.9%, end-to-end 1/10 — all confirmed against the real card.",agent+source,2026-07-10
O22,post2025,OpenAI,Cyber professional CTF pass@12,GPT-5.5,prose,16 rollouts,"""saturated""",none,High,§9.1.2.1,openai-gpt-5-5-system-card-apr-2026,Y,GPT-5.5 System Card §9.x (deploymentsafety.openai.com/gpt-5-5),confirmed,"TroubleshootingBench 44.1%, biochem 32.32%, CVE-Bench 34/40, UK AISI 90.5%±12.9% & 66.7%±15.9%, end-to-end 1/10 — all confirmed against the real card.",agent+source,2026-07-10
O23,post2025,OpenAI,Cyber UK AISI expert pass@5,GPT-5.5,prose High,NOT REPORTED,90.5%,**± 12.9%**,"(margin, prose tier)",§9.1.2.7,openai-gpt-5-5-system-card-apr-2026,Y,GPT-5.5 System Card §9.x (deploymentsafety.openai.com/gpt-5-5),confirmed,"TroubleshootingBench 44.1%, biochem 32.32%, CVE-Bench 34/40, UK AISI 90.5%±12.9% & 66.7%±15.9%, end-to-end 1/10 — all confirmed against the real card.",agent+source,2026-07-10
O24,post2025,OpenAI,Cyber UK AISI expert pass@1,GPT-5.5,prose High,NOT REPORTED,66.7%,**± 15.9%**,"(margin, prose tier)",§9.1.2.7,openai-gpt-5-5-system-card-apr-2026,Y,GPT-5.5 System Card §9.x (deploymentsafety.openai.com/gpt-5-5),confirmed,"TroubleshootingBench 44.1%, biochem 32.32%, CVE-Bench 34/40, UK AISI 90.5%±12.9% & 66.7%±15.9%, end-to-end 1/10 — all confirmed against the real card.",agent+source,2026-07-10
O25,post2025,OpenAI,Cyber UK AISI range end-to-end,GPT-5.5,prose,10 attempts,1/10,none,possible autonomy flag,§9.1.2.7,openai-gpt-5-5-system-card-apr-2026,Y,GPT-5.5 System Card §9.x (deploymentsafety.openai.com/gpt-5-5),confirmed,"TroubleshootingBench 44.1%, biochem 32.32%, CVE-Bench 34/40, UK AISI 90.5%±12.9% & 66.7%±15.9%, end-to-end 1/10 — all confirmed against the real card.",agent+source,2026-07-10
O26,post2025,OpenAI,Bio multimodal virology troubleshooting,GPT-5.6 (Sol),80th-pct expert = 31%,350 questions,55.5%,none,above (High),GPT-5.6 card,openai-gpt-5-6-preview-system-card-25-jun-2026,Y,GPT-5.6 Preview System Card §9.1.1.x,confirmed,"virology 55.5%, ProtocolQA 43.5%, tacit 84.1%, TSB 48.0%, AAV 0.529 vs 0.600, hard-neg & DNA below — all confirmed.",agent+source,2026-07-10
O27,post2025,OpenAI,Bio ProtocolQA open-ended,GPT-5.6 (Sol),80th-pct expert = 54%,108 questions,43.5%,none,below,GPT-5.6 card,openai-gpt-5-6-preview-system-card-25-jun-2026,Y,GPT-5.6 Preview System Card §9.1.1.x,confirmed,"virology 55.5%, ProtocolQA 43.5%, tacit 84.1%, TSB 48.0%, AAV 0.529 vs 0.600, hard-neg & DNA below — all confirmed.",agent+source,2026-07-10
O28,post2025,OpenAI,Bio tacit-knowledge MCQ,GPT-5.6 (Terra),consensus expert 80%,60 questions,84.1% (refusal-adjusted),none,above (High),GPT-5.6 card,openai-gpt-5-6-preview-system-card-25-jun-2026,Y,GPT-5.6 Preview System Card §9.1.1.x,confirmed,"virology 55.5%, ProtocolQA 43.5%, tacit 84.1%, TSB 48.0%, AAV 0.529 vs 0.600, hard-neg & DNA below — all confirmed.",agent+source,2026-07-10
